Usuário,Reply,Conteúdo,Reações,Editado
Jaqueline Sousa Lima,Jaime Burgos Claros Paz,,0,FALSE
Jaqueline Braghini,,Parem de matar as pessoas usem alho e cebola cru que raiva disso,13,FALSE
Anibal Paixao,,"Aí já é curandeirismo  😉 Mesmo que funcione como preventivo, não tem o registro na Anvisa  😁",2,FALSE
Jaqueline Braghini,,E você acha que Anvisa vai aprovar esqueça os pais da medicina já falavam tenho passado pra bastante gente que está com coronavirus e com suspeita eles me relatam que obten melhora em 5 dias e usam pelo menos 15 dias 3 dentes pela manhã e 3 dentes pel… Ver mais,6,FALSE
Jaqueline Braghini,,Eu digo faz e comprova os benefícios alho dificilmente alguém terá alergia todos usam como tempero.,1,FALSE
Jaqueline Braghini,,"A imagem pode conter: texto que diz ""11:56 luciliadiniz.com LUCILIA DINIZ Imagem médico grego Galeno de Pérgamo Para Galeno, se pessoa estivesse com os humores sem fluidez, a linfa em particular, precisaria comer mais cebola alho. Este raciocínio antecipou necessidade controlar colesterol, por exemplo. médico também tinha restrições ao consumo de leite pães, devido lactose glúten, mesmo sem saber da existência destas substâncias. A nutrição era considerada terceira arte médica, junto farmacologia ea cirurgia. Entre filósofos Platão (428 348 a.C.) escreveu sobre importância dos alimentos""",4,FALSE
Jaqueline Braghini,,Tenho muitos estudos sobre o alho e a cebola estudo a 8 anos seus efeitos em várias doses,6,FALSE
Cristiane Fávaro Rotta,,"E como podemos comer ? Tem q mastigar? Pq deve ser impossível mastigar , eu sempre tomo o chá de alho, cebola , limão , mel e gengibre. Funciona como chá tbm?",2,FALSE
Jaqueline Braghini,Cristiane Fávaro Rotta,vou lhe explicar amiga se você aquecer o alho em alta temperatura irá eliminar a alicina que é o Antibiotico do alho o ideal e comer cru faça um suco e coloca o dente de alho no liquidificador coloca laranja limão e mel e colo…Ver mais,6,FALSE
Fabiana Gonçalves,Cristiane Fávaro Rotta,Existe alho em cápsulas. Eu tomo e realmente fortalece o sistema imunológico. Vc não pega gripe com facilidade. Vivi isso aqui em casa.Aumentando a dose deve combater sim.Pensei nisso com meu marido esses dias. Já fazemos supleme…Ver mais,4,TRUE
Jaqueline Braghini,Fabiana Gonçalves,e se tu comer ele cru ou coloca lo no suco potencializa mas ainda seus efeitos,2,FALSE
Jaqueline Braghini,Fabiana Gonçalves,eles falam que só pra imunidade mas não revelam tudo sobre o alho sabe porque ? É pra você ignora os efeitos não é lucro o alho e nem vantagem pra industria farmacêutica,4,FALSE
Cristiane Fávaro Rotta,,"Vou fazer isso. Tbm acredito q as indústrias farmacêuticas perdem muita grana com isso por isso só falam em medicamento manipulado. Considerando q toda medicação vem de alguma planta e Cia, devemos considerar sim seus efeitos positivos .... Eu acredito…Ver mais",1,FALSE
Jaqueline Braghini,Cristiane Fávaro Rotta,faça isso depois deixe seu depoimento pra que outras vidas sejam salvas através de seu relato amiga o que precisar me coloco a disposicao  😁,3,FALSE
Cristiane Fávaro Rotta,,"Se Deus quiser não vou pegar essa doença , e quem pegar q se cure . Masss se acontecer farei tudo o q tiver ao meu alcance e com certeza vou relatar . Obrigada 😘 😘",1,FALSE
Andreia Guerra Lu,Jaqueline Braghini,eu fiz alho mel e cebola ..meu pai come cru alho todo.dia,2,FALSE
Jaqueline Braghini,Cristiane Fávaro Rotta,as pessoas só acreditam em relatos amiga por isso eu sempre peço pra que todos façam o relato porque temos que obrigar a OMS a colocar sim esse tipo de alimento em UTI e orientar as pessoas a consumirem porque o povo só acredita…Ver mais,1,FALSE
Andreia Guerra Lu,Jaqueline Braghini,mas aumenta a pressao ?,2,FALSE
Jaqueline Braghini,Andreia Guerra Lu,o alho pelo contrário ele controla a pressão arterial o colesterol se for consumido diariamente para a manutenção da saúde o certo e 1 dente de alho pela manhã e 1 dente de alho a noite o suficiente o alho diminui os riscos de infart…Ver mais,3,FALSE
Arthur Lazzari,Jaqueline Braghini,"vou usar, obrigado ...!",1,FALSE
Jaqueline Braghini,Arthur Lazzari,😁,0,FALSE
Gabriela Aguiar,,Quiabo kkkk,1,FALSE
Jaqueline Braghini,Gabriela Aguiar,e sério amiga estudo o alho a 8 anos muito antes dessa pandemia não e receita da vovó não faça e comprove seus benefícios eu desafio quem fizer e não der certo a vir aqui me chamar de charlatona sei bem do que falo só que isso nunca…Ver mais,1,FALSE
Gabriela Aguiar,Jaqueline Braghini,"con certeza alho ten poderes anti inflamatórios. A comida sempre é o melhore remedio, mas são doses cavalares para chegar ao ideal para um vírus infelizmente que faz tao mal. A gente brinca mais sabe que a vit a faz bem em caso de vi…Ver mais",1,FALSE
Jaqueline Braghini,Gabriela Aguiar,como disse amiga eu testo o alho e a cebola anos a suas quantidades sempre usei eles trato ate pra pneumonia e problemas respiratórios e posso afirmar que cura o alho foi feito um estudo que eu vou te mandar as bactérias que ele el…Ver mais,1,FALSE
Jaqueline Braghini,,A imagem pode conter: texto,0,FALSE
Jaqueline Braghini,,A imagem pode conter: texto,0,FALSE
Jaqueline Braghini,,Nenhuma descrição de foto disponível.,0,FALSE
Jaqueline Braghini,,A imagem pode conter: texto,0,FALSE
Jaqueline Braghini,Gabriela Aguiar,esses são alguns estudos sabe porque nunca vai pra frente pra população? Alho não e lucro pra industria farmáceutica,1,FALSE
Andreia Guerra Lu,Jaqueline Braghini,"meu pai toda vida comeu alho pq gosta e nunca ficou doente , e olha que ele é obeso acredito e muito nos seus estudos.",1,FALSE
Jaqueline Braghini,Andreia Guerra Lu,agora entende porque seu pai tem a saúde boa só que vai falar pra industria farmacêutica isso eles nunca vão aceitar essa teoria preferem a morte da humanidade do que aceitarem isso,1,FALSE
Andreia Guerra Lu,Jaqueline Braghini,sim e olha que ele come pq gosta ele teve artrose agora c 67 anos e o medico falou q era p ele ta pior mas nao esta por causa do alho.eu li q o alho nao deixa artrose piorar ...,1,TRUE
Andreia Guerra Lu,,Sou asmatica do gruponde risco vou começar a tomar o alho entao ... tomara q ajude minha dor de cabeca tenho dores todos os.dias.,1,FALSE
Fabiana Gonçalves,Jaqueline Braghini,Com certeza. Tem muita coisa boa no combate as doenças que são escondidas. O que manda é o lucro. Um exemplo. Quando estou sentindo início de infecção urinária tomo uma colher de chá de bicarbonato de sódio em um copo d'água 2x ao di…Ver mais,1,FALSE
Jaqueline Braghini,Andreia Guerra Lu,vai ajudar muito alho e bom pra 20 doenças amiga,1,FALSE
Fabiana Gonçalves,,Eu fazia tratamento para depressão. Me libertei dos fármacos usando manipulação.Hoje sou outra pessoa.,1,FALSE
Jaqueline Braghini,Fabiana Gonçalves,pra ti ver Indústria farmacêutica escondem isso e sempre vão esconder não e vantagem e nem lucro pra eles mas se todos fizerem isso e dar relatos direto eles vão ser obrigados a fornecer essas informações por isso e importante o rela…Ver mais,2,FALSE
Gilmara Cordeiro,Jaqueline Braghini,vc sabe me dizer se serve como expectorante?,1,FALSE
Andreia Guerra Lu,Jaqueline Braghini,vdd,1,FALSE
Andreia Guerra Lu,Gilmara Cordeiro,eu fiz alho cebola e mel expctora muoto mesmo mas so pode 1 colher pequena .tem tambem casca de jatobá faz um melado com açúcar demerarva é uma bênção sempre faço p meus filhos,3,FALSE
Jaqueline Braghini,,Pessoal daqui a pouco desativam meus comentários porque eles não querem que muita gente façam isso se por acaso desativarem podem me chamar inbox que eu auxilio,1,FALSE
Ana Paula de Oliveira II,,Sou asmatica do grupo de risco e confirmado COVID-19. Também posso comer o alho?,3,TRUE
Sandra Utrilla Calzavara,Ana Paula de Oliveira II,vc tem asma e está com o covid. ? Como tá sendo. Eu estou com tanto medo. Posso te add ?,0,FALSE
Geisiane Pantoja,,"Aqui meu tempero em casa, alho, cebola, cheiro verde, cebolinha, chicória. Vem os sucos: laranja, limão, acerola, inhame",3,FALSE
Jaqueline Braghini,Ana Paula de Oliveira II,deve comer alho sim amiga inclusive minha filha tinha bronquite asmática joguei todas as bombinhas e antibioticos fora e só alho e cebola todos os dias,0,FALSE
Jaqueline Braghini,Geisiane Pantoja,coloca no seu suco um dente de alho cru amiga e duas colheres de mel potencializa mas teu suco,1,FALSE
Miriam Franco,Jaqueline Braghin,oi. pode me.dizer sobre a. cebloa. crua. qie. se. coloca.ametade. no quarto a. noite ou outro maneira bv possa para. mim favo,1,FALSE
Paloma Dias,,E o alho em cápsula? Também é válido?,2,FALSE
Geisiane Pantoja,,Procurem sobre inhame e limão o suco . ajudar a aumentar as plaquetas . imunidade alta,4,FALSE
Jaqueline Braghini,Miriam Franco,a cebola você compra aquelas de feira bem pequenas e come uma por dia eu compro aquelas bem pequenas ou consome a metade de uma cebola intejra,0,FALSE
Jaqueline Braghini,Paloma Dias,as cápsulas são válidas sim só que alicina que e o Antibiotico do alho ele e mas concentrado no alho cru amada você pode colocar ele no liquidificador e bater com o suco com mel laranja e limao enganam muito o gosto do alho,0,FALSE
Miriam Franco,Jaqueline Braghini,nossa pode ser em. salada eu compro sempre. grande pode ne e ajuda no.qie. querida dai,1,FALSE
Paloma Dias,Jaqueline Braghini,obrigada,1,FALSE
Jaqueline Braghini,Miriam Franco,pode sim na salada só não pode jogar água quente por cima o importante e comer cru amiga,0,FALSE
Fabiana Gonçalves,Jaqueline Braghini,Inclusive tive várias pneumonias crônicas ao longo da minha infância e pré adolescência. Uma vez minha mãe assinou um termo de responsabilidade para me tirar do hospital e tratar com remédio de folha pois somos descendentes de índio. Minha bisavó era. Então fui curada com assa peixe entre outros .E lembro como se fosse agora das placas que saiam de mim de catarro. Lembro e fico de cara como minha mãe foi corajosa. Sempre falo que sou um milagre.Pois não conseguia nem andar.Pesquisem essa planta .Assa peixe.E tirem suas conclusões. Temos remédio em excesso só que só se usa os da farmácia e se come muito mal hj em dia.,0,FALSE
Ana Paula de Oliveira II,Sandra Utrilla Calzavara,pode sim,2,FALSE
Jaqueline Braghini,Fabiana Gonçalves,os médicos nunca iram comprovar e nem a OMS é uma pena eles preferem que pessoas morram do que comprovar isso,2,FALSE
Fabiana Gonçalves,Paloma Dias,Sim.O natural será sempre melhor.Mas o em cápsulas é muito bom tbm e mais fácil de consumir.,1,FALSE
Fabiana Gonçalves,Jaqueline Braghini,Só médicos de bom coração e naturalistas receitam.O resto não tá nem aí.,1,FALSE
Miriam Franco,Jaqueline Braghini,a eu nao. nao. coloco água quente muito obrigado querida quem Deus proteja. vcne. sua familja quando. tove mais sobre outrasncoosanp. saudenpode. me. acha no mesenger,1,FALSE
Paloma Dias,Fabiana Gonçalves,verdade!!!,1,FALSE
Jaqueline Braghini,Miriam Franco,pode deixar e não deixa de deixar seu depoimento que isso salva muitas vidas amiga,1,FALSE
Deby Lucy,,Se eu cotar e engolir sera q da certo? Um vez giz o cha e nao deu p tomr maia de um vez,1,FALSE
Deusamar Rodrigues,Jaqueline Braghini,te juro que estou me recuperando em casa e usando isso muita cebola e me senti melhor,2,FALSE
Maria Ines,Jaqueline Braghini,Faltou o tomate pro molho ficar completo!  😁,1,FALSE
Deusamar Rodrigues,Deby Lucy,como crua com outro alimento tipo carne,2,FALSE
Jaqueline Braghini,Deby Lucy,pode também amiga como eu disse tem que ser cru tudo e valido,1,FALSE
Deusamar Rodrigues,Jaqueline Braghini,gente isso é ótimo más tem q ser cru não cozido,1,FALSE
Jaqueline Braghini,Deusamar Rodrigues,não pode ser cozido porque justamente o Antibiotico e a cebola e alho não pode ser colocado em altas temperaturas porque se não evaporam não surtem o efeito que espera muita gente relata que ainda aproveitam o Antibiotico no chá mas o importante e comer cru assim você não perde nenhum propriedade alicina,0,FALSE
Deusamar Rodrigues,Jaqueline Braghini,sim,1,FALSE
Andreia Guerra Lu,Ana Paula de Oliveira II,Que Deus te de a cura nos de seu ralatopor favor....,1,FALSE
Vanessa Fantini,Jaqueline Braghini,"eu como salada de cebola todo dia. Deixo ela de molho na agua com cubos de gelo, escorro a agua e tempero. Passei a minha infância comendo cebola e tomando chá de alho. Minha mãe fala que nunca fiquei doente na infância, pouquíssimas gripes. Se a receita da minha avó funciona pra todo mundo nao sei. Mas cientificamente alho possui alicina que funciona como um antibiótico natural e cebola é rica em compostos sulforafos( similares ao enxofre) que funcionam como bactericidas.",2,FALSE
Vanessa Fantini,,"Antigamente se tratavam as pessoas com chá. Hoje quase ninguém toma porque a maioria dos médicos são contra. Sem contar que realmente tem sem noção que faz chás muito fortes e acabam se intoxicando. Conheço uma gama de plantas medicinais que sempre utilizei para tratar infecções respiratórias, amigdalite my old friend. O tratamento através de plantas medicinais requer disciplina, persistência e uso durante vários dias até a completa cura. Paciência que poucas pessoas tem. Sentiu a garganta arranhar, faz gargarejo com chá de malva e sal ou suco de limão com sal. Própolis misturado com agua 10 gotas de 6 em 6 horas. Mas ninguém acredita em remédios naturais. Inalação com vapor do chá de eucalipto.",1,FALSE
Miriam Franco,Jaqueline Braghini,obrigado Deus ta contigo,2,FALSE
Jaqueline Braghini,Vanessa Fantini,pois como te disse as pessoas são como Tomé eu acredito vendo,0,FALSE
Vanessa Fantini,Jaqueline Braghini,eu venho de gerações usando muito chá diariamente.,1,FALSE
Jaqueline Braghini,Vanessa Fantini,eu também sou descendente de índios e a minha vó sempre ultilizou chás,0,FALSE
Gabriela Aguiar,Jaqueline Braghini,tem vários superalimentos que são suplementos e curam ajudam no tratamento de várias doenças,1,FALSE
Eloir Marques,Laila Garcia Marques,,1,FALSE
Yanara Feltrin,,Só funciona pra uip e Khalil kkkk querem vender estoque de desametasona das farmácias ???,6,FALSE
Vanessa Fantini,Yanara Feltrin,dexametasona é um xarope comum pra tosse. Fraquinho. Existem outros q surtem melhores efeitos,0,FALSE
Yanara Feltrin,Vanessa Fantini,desamatasona e corticoide e não xarope .sou médica . E como todo remédio tem efeitos colaterais . Mas o q falo e que povo sai como louco comprando tudo q sai por sai .,0,FALSE
Vanessa Fantini,Yanara Feltrin,xarope é modo de dizer. Conheço uma gama deles pois tenho um filho com bronquite. Graças a Deus faz alguns anos que ele não faz uso de nenhum tipo de corticoide.,1,FALSE
Vanessa Fantini,,Mas dexametasona é aquele xarope de UPA/posto de saúde. Tem gente que pensa que é balinha.,1,FALSE
Anibal Paixao,,Mas a cloroquina é um corticóide. Isso não seria como trocar seis por meia dúzia?,7,FALSE
José Lopes,,Uma pergunta o aciclovi serve para mata este viro ou não alguem sabe se ja foi testado,1,FALSE
Claudia Farah,José Lopes,"pra saber tem q ser estudado por muito tempo. Aciclovir, por enquanto, é contra herpes. Não é da noite pro dia que vão descobrir algo contra o vírus.",0,TRUE
José Lopes,Claudia Farah,sim e que a herpes e um viru. Ok verdade.,0,FALSE
Marcio Ramires,,"Esses dias eu também estava conversando aqui em casa sobre o Aciclovir, pois do nada me veio o nome desse medicamento na minha mente. Meu filho usa ele pra herpes!",1,FALSE
José Lopes,Claudia Farah,não to compresa não. Pode fica tranquila. Ok.,0,FALSE
Vanessa Fantini,,"Vírus da Herpes nao se cura. Se cura as manifestações físicas dele, mas curar nunca. Ele fica alojado em alguns nervos do nosso organismo, mesmo para quem nunca manifesta sintomas físicos. Eu sou uma portadora que nunca manifestou sintomas. 90% da população mundial é portadora sem sintomas e apenas 10% manifestam sintomas. Alguns estudos associam o vírus da Herpes com o Alzheimer.",0,FALSE
Vanessa Fantini,,Estou curiosa para fazer o PCR para ver se tenho anticorpos contra Coronavirus. Fui criada num ambiente com muito contato com animais selvagens.,0,FALSE
José Lopes,Eu tem anti corpo contra o corona. Pinga so pinga urra aqui nos e piga,,0,FALSE
Claudia Farah,José Lopes,é causada por um vírus.,0,FALSE
José Lopes,Claudia Farah,kkkkkll sim,0,FALSE
José Lopes,Claudia Farah,vai uma ai. Cura tudo. E pinga.,0,FALSE
Maria Teresa,,"Vários países já pararam de fazer tratamento com cloroquina, ela mata mais rápido, devido aos problemas no coração, se fosse tão bom Estados Unidos não estava morrendo 3 mil por dia. Achismo não funciona em saúde, tem que pesquisar é algo científico. E…Ver mais",9,FALSE
Junior Moura Silva,Maria Teresa,"conheço pessoas que usa a mais de trinta anos para de besteira o tratamento é só cinco dias, se der arritmia só tomar remédio contra artmia",3,FALSE
Domingos Lorge,,HAHAHAHAHAHAHAHA... Ok ok  👌🏻,1,FALSE
Ana Lúcia Böck,Junior Moura Silva,"doses diferentes, a Cloroquina para funcionar precisa de altas doses, já quem tem malária ou doença auto imune usa uma dose menor, além de haver casos de pessoas cegas pelo uso contínuo do remédio",2,FALSE
Junior Moura Silva,Ana Lúcia Böck,nada mesma coisa 200mg,0,FALSE
Ana Lúcia Böck,Junior Moura Silva,"o estudo da China que foi o usado de referência diz 450, 500mg",0,TRUE
Junior Moura Silva,,Em quem tá morrendo 400 a casa 12 horas,0,FALSE
Junior Moura Silva,,O correto é tomar antes de tiver perto de morrer,0,FALSE
Maria Teresa,Junior Moura Silva,"Vc é cientista, médico?",0,FALSE
Junior Moura Silva,Maria Teresa,te enteressa?,0,FALSE
Emi Gama,Maria Teresa,"claramente ele eh um médico cientista infectologista com mestrado em pesquisas avançadas para o combate as epidemias em Harvard, respeita o macho minha senhora",1,FALSE
Maria Teresa,Emi Gama,"nem sempre pessoas com mestrado, doutorado, PhD são os mais competentes, com caráter e índole inabalável minha senhora.",0,FALSE
Emi Gama,Maria Teresa,você não entendeu MESMO o sarcasmo? Pensei q iria entender,0,FALSE
Souza Andrea,,"Espero que agora, a Anvisa libere para as farmácias! Pois os portadores de artrite rematoide lupus, mesmo com receita, não estão tendo acesso!",2,FALSE
Junior Moura Silva,,"Uso nasal pra carne crescida no nariz é ótimo , tava até com inflamação no tendão pé, e sara quando uso no nariz",0,FALSE
Andreia Guerra Lu,,Ac,0,FALSE
Flavio Monteiro,,"Ixiiiii mexeu com o remédio preferido do Bolsonaro!!!! Treta a vista, segura os fanáticos especialistas em infectologia e medicina. Agora virão as explicações técnicas",6,TRUE
Vanessa Fantini,Flavio Monteiro,"kkkk. O remédio dele deveria ser Rivotril. A imagem pode conter: uma ou mais pessoas e meme, texto que diz ""D é o caralho Meu nome agora é REMÉDIO DO BOLSONARO""",1,FALSE
Cris Veiga,,Eles já estão usando Dr Kalil diretor do hospital sírio libanês disse q vai usar a cloroquina nos seus pacientes junto com corticoide antibiótico e anticoagulante. Ele disse que lá a letalidade é zero.,4,TRUE
Gisele Cristina Santos,,https://chat.whatsapp.com/IIgEHJXizobJIQhQM5mQH9 Urgente Corona vírus CHAT.WHATSAPP.COM Urgente Corona vírus Urgente Corona vírus,0,FALSE
Pamela Silva,,Corticóide foi terminantemente proibido no começo da pandemia. Então isso ai é fake.,3,FALSE
Carmencita Oliveira,,vi uma reportagem de um médico que tratou 10 casos com ajuda de corticóide,0,FALSE
Carmencita Oliveira,,todos curados,0,FALSE
Pamela Silva,Carmencita Oliveira,"😱 pra vc vê,então não era covid 19.",1,FALSE
Raphaela Granato,Carmencita Oliveira,"tudo depende do organismo, n se ten o q fazer as pessoas sao cobaias",0,FALSE
Carmencita Oliveira,Pamela Silva,era sim,0,FALSE
Pamela Silva,Carmencita Oliveira,"Vi uma reportagem n9 começo dizendo que corticóide acelerava a mutação do vírus,por isso iam tirar vários de circulação",2,TRUE
Carmencita Oliveira,Raphaela Granato,tem que tentar todo remédio é testado melhor do que deixar morrer sem fazer nada,0,FALSE
Raphaela Granato,Carmencita Oliveira,sim,0,FALSE
Pamela Silva,Carmencita Oliveira,"Pois é as pessoas estão morrendo por virar cobaias de teste,mas a culpa é das pessoas que estão na rua... Mídia hipócrita!",1,FALSE
Thayse Rocha,Pamela Silva,"eu uso corticoide contínuo a anos, para tratar doença autoimune. Meu médico recomendou logo no começo, se eu viesse a ter qualquer sintoma da doença teria que parar na hora com o corticoide. Justamente por isso. Maas existem tipos diferentes de corticoides, o meu é predinisona, esse é dexametasona. Pode ser diferente.",1,FALSE
Pamela Silva,Thayse Rocha,"Sim sim,mas os médicos da oms no início disseram que corticóides foram descartados,aceleravam a mutação. Isso que eu Tô querendo dizer.",1,FALSE
Thayse Rocha,Pamela Silva,"siim! Entendi! Também acho estranho que estejam testando agora, justamente por isso!",0,FALSE
Tamires Lima,,"Pois é. Porém se descobriu recentemente que a doença não ataca diretamente os pulmões, primeiro ela ataca o sangue. Então a cloroquina só é eficiente no início, quando o paciente ainda não atingiu o estado grave, onde ainda não precisa de intubação. A cloroquina irá agir no sangue. Já o corticoide será aplicado nos casos agravados, entubados, para combater ajudar infecção no pulmão juntamente com os outros medicamentos. Ambos os medicamentos tem surtido resultados positivos, quando administrado no momento certo. O que a matéria quer é dizer é que clooroquina não dá resultado em pacientes graves.",2,FALSE
Pamela Silva,Tamires Lima,"Bom,espero que estejam certos,que ñ morram muitas pessoas só pq eles não sabem oq fazer.",1,TRUE
Bluna Monteiro,,"Vi o vídeo do médico Kalil eu acho, onde ele disse que usou a Hidroxicloroquina, antibiótico mas o que o salvou foi o corticóide, só não disse qual corticóide. Realmente foi pedido que evitassem o uso de corticosteróides no início pois um dos efeitos colaterais dele é o aumento de chances de infecções por vírus e bactérias, mas não ficou comprovado nada, foi apenas suposições. O dexametasona é ótimo em casos de falta de ar, mas o uso deve ser sob prescrição pois existe doses exatas para cada situação e combinação com outros medicamentos. Meu filho já teve dois episódios de laringite (alergia provocada por vírus), na qual ficava com falta de ar e rouco, a pediatra receitou dexametasona + Aerolin (àquelas bombinhas) foi dois dias já estava bem, mas a dose deve está de acordo com idade, peso e diagnóstico. Vamos ter fé... É o que nos resta.",1,FALSE
Bluna Monteiro,Thayse Rocha,", também uso prednisona pra Artrite reumatóide, estou sem usar devido a doença está controlada pq estou grávida.",0,FALSE
Virginia Zirondi,Pamela Silva,"não e fake eu ouvi falar estão tentando de tudo até bosta de galinha com formiga, eu tomo e vcs . .....?",1,FALSE
Heloise Heloise K,,"Não era corticoide, era anti inflamatório que era perigoso!",0,FALSE
Alex NM,,https://www.facebook.com/100008998296163/videos/2266772550299333/,0,FALSE
Alex NM,,"Sim sim,mas os médicos da oms no início disseram que corticóides foram descartados,aceleravam a mutação. Acho que vc está confusa. O que proibiram foi ibuprofeno, e mesmo assim, isso já foi revisto e agora já afirmam que não tem qualquer problema. Outra coisa absurda é esta afirmação de que acelera a mutação. Poderia postar a fonte desta informação? Obrigado",0,FALSE
Mara Oliveira,,Ac,0,FALSE
Elizabete Stroppa Lima,,"Um amigo do meu marido, um professor que faleceu semana passada,nenhuma doença pré existente, recebeu 1 dose e no dia sequinte o coração não suportou...",7,FALSE
Luana Christine,Elizabete Stroppa Lima,Será que foi da cloroquina? E quem trata lupus? Minha sogra usa diário a cloroquina. Vai ver o falecimento foi do proprio COVID. Nao sei...,1,FALSE
Elizabete Stroppa Lima,Luana Christine,meu cunhado teve malária e tomou...mas ele não suportou .,3,FALSE
Ariane Nicolodi,,"Tenho uma amiga que trata lúpus e usa cloroquina constantemente está bem viva, graças a Deus e ao medicameto",1,FALSE
Loide Gomes da Cunha,Ariane Nicolodi,"Já usei p artrose ,com acompanhamento médico e me senti bem...",1,TRUE
Junior Moura Silva,,Minha irmã toma a 30 anos cloroquina e corticoide ela tem lupus,0,FALSE
Adriana Silva,Luana Christine,"A dosagem é muito alta quando é tratamento hospitalar, e provoca problemas cardíacos mesmo  😔",1,FALSE
Thayse Rocha,,No vídeo e na matéria NÃO diz nada que a cloroquina não funciona. Só fala que vão testar dexametasona também. Estão em buscar de algo que surja efeito. Só não entendo como podem usar corticoides se a primeira recomendação foi não usar corticoides por a…Ver mais,0,FALSE
Luciana Vanessa,Thayse Rocha,"penso q ainda tudo é novo. Falaram no comeco pra nao tomar corticoide pq abaixa a imunidade, mas ja li materias dizendo q o Covid esta mais para uma doenca hematologica do q respiratoria e penso q deve fazer algum sentido..",0,FALSE
Alex NM,Luciana Vanessa,https://www.facebook.com/100008998296163/videos/2266772550299333/,0,FALSE
Vera Molás,,Impressionante como tem médicos nesse país!!!,0,FALSE
Regina Celia Mascolim Veloso,,Eles adoram inventar coisas para fugir da realidade. Usa a porcaria da hidroxicloroquina,0,FALSE
Regina Celia Mascolim Veloso,,"Sabem porque a hidroxicloroquina é barata, não dá tanto lucro para os abutres que brincam com as vidas alheias.",1,FALSE
Tamires Lima,Regina Celia Mascolim Veloso,dexametasona também é barata. Mesma faixa de preço.,1,FALSE
Bluna Monteiro,,Dexametasona é até mais barato que a Hidroxicloroquina.,0,FALSE
Luly Ferraz,,Tomara q de certo,0,FALSE
Tatiane Cardozo,,Pronto agora quem tem alergias se ferro que faz uso desse medicamento affs,1,FALSE
Bluna Monteiro,Tatiane Cardozo,", verdade.",1,FALSE
Deby Lucy,,Pronto acora inicia a venda em massa do dexa.....e assim em mais uns 3 meses a venda de remedio em massa vai deixar maia ricos as empresas quefz remediio,2,FALSE
Gabriele Emilly,Deby Lucy,corticóide não vende em massa pq precisa de receitas,1,FALSE
Deby Lucy,Gabriele Emilly,menos mal...mas eu ja co.prei dexa sem receita qd eu estava com bronquite...eles sempre vendem..bom era em liquido...nao sei se e a mesma coisa.,0,TRUE
