Usuário,Reply,Conteúdo,Reações,Editado
Tarciso Marques Caldeira Junior,Padilha Giovanna,"kkkkk... Na medicina veterinária procuramos fazer a medicina baseada evidências, imagina então na medicina humana? Mas os tempos são outros né! Zap zap, tia do zap, YouTube, blogs de direita são as evidências doa dias atuais!!! Kkkkk, discutir com negacionista me diverte! Agora temos uma nova modalidade de fazer medicina: Medicina baseada em achismo!! Boa noite.... A deixa eu perguntar: Será q tem Ivermectina neste parecer dos médicos de Cascavel? O médico de Goiânia q dizia curar a COVID 19 com ivermectina infelizmente tá enrugado numa UTI.... Que pena né!",0,FALSE
Tarciso Marques Caldeira Junior,Padilha Giovanna,"o.pre print do paper é de um estudo humano robusto sobre a eficácia da COVID.... Desculpe, achei q vc sabia q era um pre print de um estudo q será publicado... Vc me desculpa, as vezes esqueço q alguns nem sabe o q é ciência! Mas c precisar eu desenho em lapis colorido!! Kkkkk...fui",0,FALSE
Padilha Giovanna,Tarciso Marques Caldeira Junior,ainda chorando? Pqp mas tu chora em... Deus me livre de gente sarna que não aceita uma matéria de médicos super renomados e formados em universidades públicas  🥱 aiai publica teus artigos da unoeste aqui pra gente ver se dá pra comparar com eles  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣,0,FALSE
Tarciso Marques Caldeira Junior,Padilha Giovanna,"xiiiii no Paraná tá subindo os casos de COVID 19, ou seja , 900%... Tá faltando Cloroquina no PR?",0,FALSE
Tarciso Marques Caldeira Junior,Padilha Giovanna,"vc é idiota ou q?Vc não tá vendo q te mandei trabalhos pre print ,q está bosta não funciona? Até os EUA pararam de usar esta medicação! Vc não lê o contraditório, opinião de médico não é evidência...q caralho é muita negação , sai da bolha, o mundo inteiro não usa esta porra....Vc viu o PR não indica mais a Cloroquina.....teu estado subindo a contaminação e vc querendo q o povo tome remédio que não funciona! Vc não viu o médico goiano q dizia q a Ivermectina era a cura da COVID? Sabe onde ele tá? Internado numa UTI com COVID.... Negacionismo é doença, Bolsonarismo é doença!",0,TRUE
Fátima Pedrazzani,,"Uai, depois de tudo que falou",0,FALSE
Luana Negrão,,"Vocês são analfabetos funcionais, só pode.",1,FALSE
Kelly Elidia,,Ainda bem q tem vídeos dele com as caixas de cloroquina kkk tem q ser muito mal intencionado a essa altura em dizer q ele foi mal interpretado lá no começo kkkk fora os seguidores dele recomendando o uso do remédio como se fossem médicos kkk,6,TRUE
Shirley Costa,Kelly Elidia,bem isso..pior cego é aquele que não quer enxergar..preferem achar que é fake..que ele nunca fez propaganda da cloroquina,2,FALSE
Kelly Elidia,Shirley Costa,só se revela cada vez mais gente mais mal intencionada igual esse cara. Nunca vi tanta atitude covarde deste ser.,2,FALSE
Patri Contente,,"Me espanta, ver o que 20 anos de PT fez com a estrutura das escolas.... Olhando os comentários da pra ver quem estudou e quem não fez isso.",5,FALSE
Shirley Costa,Patri Contente,sou contra o PT e nem por isso preciso apoiar o Bolsonaro.,7,FALSE
Rosangela Correia,Shirley Costa,melhor resposta,0,FALSE
Patri Contente,,Sou contra o PT e contra e quem não sabe ler.,2,TRUE
Patri Contente,,O bonoro assim como eu não sou médica. Não posso recomendar o uso e as doses. É isso que ele falou,1,FALSE
Patri Contente,,"Em nenhum momento ele disse que é contra, apenas disse q não recomenda. Nem o farmacêutico pode recomendar alguma coisa",2,TRUE
Shirley Costa,Patri Contente,mas ele sempre recomendou..basta ver os vídeos dele..rs,2,FALSE
Robert Lordello,Shirley Costa,não apoio político nenhum mas você leu?,1,FALSE
Patri Contente,Shirley Costa,"ele não só é a favor do remédio, como faz uso dele e está vivo. Ele não pode recomendar o uso ele é a favor do uso",0,FALSE
Patri Contente,Rosangela Correia,aproveita a sua # fica em casa e estude. Pois cientificamente não tem argumentos  😘,1,FALSE
Simone Soares,,20 anos de PT. Tá sertim. Nem vem que não sou petista. Mas pera aí né,0,FALSE
Denise Zambelli,,"Acho que sua matemática tá ruim viu! 20 anos de PT? Aonde?E tem 4 anos que o pt saiu tá, supera.",3,FALSE
Patri Contente,Denise Zambelli,vc deve saber vem né?,0,FALSE
Rosangela Correia,Patri Contente,"se situa mulher. Kkkkkkkkkk Na ânsia de defender quem não tem defesa sai falando merda. Sou contra o PT e muito contra o Bolsonaro,esse cara é um idiota,essa é a minha opinião, agora vc não precisará fazer nenhum esforço para pensar muito menos para interpretar. Aproveite vc para ficar em casa e reflita.",2,FALSE
Denise Zambelli,Patri Contente,"é história Amadah, sei que tem gente que gosta de negar história, mas o PT teve dois governantes, Lula, por 2 mandatos, e Dilma por 5,3 anos (2 mandatos, um interrompido pelo empeachmeant) 8 + 5= 13 De onde vc tirou os outros 7 anos?",2,TRUE
Aline Ventorim,Patri Contente,mas pegam um pedaço da frase e fazem a interpretação que querem. Tá difícil,0,FALSE
Patri Contente,,Tá bom meninas me desculpe... A tia deveria será mais correta. Tancredo Neves em PMDB. José Sarney PMDB. Fernando Collor PRN. ITAMAR Franco PMDB. FERNANDO Henrique Cardoso PSDB. Lula PT LULA PT. DILMA PT Dilma PT. Temer PMDB. Bolsonaro PSL. Realmente a culpa deve ter sido entre 1983 a 2003,0,FALSE
Patri Contente,Rosangela Correia,nossa Qtas ignorância. Defenda seus argumentos. Com fatos. Faltou mas aulas de história?,1,FALSE
Patri Contente,Denise Zambelli,seremos ignorantes por mais 2 gerações. Pode vir o governo q for.,0,FALSE
Denise Zambelli,Patri Contente,"isso é verdade, nunca vi tanta gente imbecil, parece que é moda.  😔",0,FALSE
Patri Contente,Denise Zambelli,"infelizmente gostando ou não das coisas que ele fala, ele foi eleito por falar o que pensa. Agora distorcer pra ganhar like em FB... seria o mesmo.que generalizar os 20 anos como eu fiz.",0,FALSE
Elza Lima Silva,,Melhor presidente que o Brasil já teve. ??? Luiz Inácio da Silva. Não tem pra ninguém. Esse atual??? E um despreparado kkkkk Só não vê quem não quer. Ou se esforça pra não enxerga .,1,FALSE
Patri Contente,Rosangela Correia,podemos falar então de biologia? Vc sabe o q acontece com o sistema imunológico de uma pessoa enclausurada?,0,FALSE
Patri Contente,Elza Lima Silva,"pronto já deu seu grito de guerra, estamos falando de coisas úteis e inteligentes e não de bonoro e luladrao",1,TRUE
Patri Contente,Robert Lordello,"se posicionar a favor de algo é estar a favor do bolsonaro. Se posicionar contra é ser petista. Ser inteligente e ter argumentos está difícil. Votei nele no segundo turno. Vou pelo menos ser sensata!! Perguntei de história, não obtive resposta. Perguntei sopre interpretação de texto, não obtive resposta. Perguntei sobre biologia, não obtive resposta.",0,FALSE
Denise Zambelli,Patri Contente,"Lula foi um desastre de presidente, tb foi eleito por falar o que pensa, e tb falou muita asneira. Achar que o NOVO presidente tb pode falar asneira, tb pode ser irresponsável, pq o Lula foi, tb pode ter aliança com Centrão, pq o Lula fez, é admitir um governo de merda igual o do Lula",0,FALSE
Patri Contente,Denise Zambelli,tem razao,1,FALSE
Rosangela Correia,Patri Contente,vc quer discutir história? Kkkkkkkkk Desculpa mas não tô a fim. Bjusss. Boa sorte,0,FALSE
Patri Contente,,Esse post deveria ser... Como reconhecer uma pessoa que sabe interpretar texto ou não.,0,FALSE
Nildete Bonini,,Véio acéfalo...Deus nos livre e nos guarde desse burro,1,FALSE
Ilse Terezinha Rudnicki,,"Tenho dó dos eleitores dele,ele gosta de confundir a cabeça deles...uma hora ele praticamente receita cloroquina, agora manda procurar médico. ..kkkk",8,TRUE
Kelly Elidia,Ilse Terezinha Rudnicki,ficam tudo batendo cabeça dizendo q é fake kkk,3,FALSE
Ilse Terezinha Rudnicki,Kelly Elidia,"muita gente está tomando pelo fato de Bolsonaro indicar,porém a realidade dele é outra,ele faz exames duas vezes ao dia,tem ambulância com uma equipe a disposição! E esse povo não tem nada disso",1,TRUE
Rejane Cardoso,,"Faz a merda depois tira o corpo fora como sempre,fez até propaganda agora diz que não recomenda nojento  🤮",1,FALSE
Marli Dalbosco,Rejane Cardoso,vdd ridículo. ta falando isso só pros governo não compra pra destribuir pra população. olha o gasto que vai da,1,FALSE
Rejane Cardoso,Marli Dalbosco,pois é,1,FALSE
Michelle Santos,,"Agora ele não é médico, mas antes, defendendo a cloroquina e o fim do isolamento, parecia ser mais estudado que os epidemiologistas com pós doc! Acreditou em paraquedista quem quis.",3,FALSE
Danizinha Sobreira,,"Agr não recomenda,mais recomendou sim. Quem prescreve é MÉDICO,recomendar qualquer um pode  🙄",3,FALSE
Padilha Giovanna,,"Eu recomendo, toma quem quiser  🙆",1,TRUE
Drika Gonzalez,,"Resumindo: Não querem a Hidroxicloroquina e nem a ivermectina pq não tem comprovação científica, mais curou várias pessoas... Não querem pq são remédios baratos que não dá para superfaturar... Eles querem o Remdesivir remédio pra rico... Eu continuo a favor da ivermectina e azitromicina...  A imagem pode conter: texto que diz ""tratamento com remdesivir custará, apenas considerando os medicamentos, US$ 3.120 (o que representa mais de R$ 16,5 mil) por paciente, dentro de um hospital privado nos Estados Unidos. Para termos valor de referência reais, a quantia ultrapassa o preço de dois iPhones 11 Pro Max com capacidade de 64 GB, se convertida sem impostos aqui no Brasil. Segundo site oficial da Apple, o modelo especificações custa R$ 7.599 por aqui.""",6,FALSE
Padilha Giovanna,Drika Gonzalez,melhor deixar esse povo ignorante morrer a míngua sem tratamento do que discutir.,2,FALSE
Drika Gonzalez,Padilha Giovanna,Verdade!! Já tenho a minha opinião formada!! O pior vírus é o da ignorância...,1,FALSE
Joao Victor Vieira Marcondes,,"Remdesivir custa menos de 10 dolares pra fabricar, eles inflacionaram pq são um bando de pau no cu",1,FALSE
Drika Gonzalez,Joao Victor Vieira Marcondes,Sei que é caríssimo!!! Tem que tomar 10 ampolas...,0,FALSE
Adriana Vivone,,"Pegam uma frase é já distorcem tudo.... e claro...segundo exame daria positivo, as pessoas ficam 15 dias em quarentena....como em 1 semana daria negativo....e o remédio amenizou o vírus...daí me paciência",2,FALSE
Hamilton Vieira Vieira,,Como pode distorcer as coisas assim,2,FALSE
Pero Alexsandro Nicolini,,Um presidente honesto incomoda muita gente,12,FALSE
Michelle Santos,,"Onde tem? Queria ficar incomodada por um presidente honesto, nunca tive o prazer  😢",4,FALSE
Pero Alexsandro Nicolini,Michelle Santos,basta acompanhar o nosso atual presidente. No ápice dos rombos e das impunidades de 2003 a 2016 ele não se corrompeu. Quem disse isso foi os próprios traficantes do Rio de Janeiro em depoimento,1,TRUE
Michelle Santos,,"Ô poxa, os traficantes do rio?  😱 Ainda bem que ele mudou a segurança do Rio, né? Sempre pensando no bem estar dos filhos. Certamente estão protegidos dos traficantes agora",3,FALSE
Dayana Alves,Pero Alexsandro Nicolini,honesto é kkkkkkkkkkk,0,FALSE
Eulália Alves Fogaça,Pero Alexsandro Nicolini,", os traficantes?! Nossa, que referência... kkkkkkkkkkkkkkkk",1,FALSE
Pero Alexsandro Nicolini,,https://youtu.be/Qmd4xh5K-dc BOLSONARO É CITADO POR BEIRA MAR. YOUTUBE.COM BOLSONARO É CITADO POR BEIRA MAR. BOLSONARO É CITADO POR BEIRA MAR.,0,FALSE
Pero Alexsandro Nicolini,,Vejam por si só. Ou vão achar que é montagem,0,FALSE
Pero Alexsandro Nicolini,Eulália Alves Fogaça,https://youtu.be/Qmd4xh5K-dc BOLSONARO É CITADO POR BEIRA MAR. YOUTUBE.COM BOLSONARO É CITADO POR BEIRA MAR. BOLSONARO É CITADO POR BEIRA MAR.,0,FALSE
Pero Alexsandro Nicolini,Michelle Santos,https://youtu.be/Qmd4xh5K-dc O choro é livre BOLSONARO É CITADO POR BEIRA MAR. YOUTUBE.COM BOLSONARO É CITADO POR BEIRA MAR. BOLSONARO É CITADO POR BEIRA MAR.,0,FALSE
Pero Alexsandro Nicolini,Dayana Alves,https://youtu.be/Qmd4xh5K-dc ladrao que não é BOLSONARO É CITADO POR BEIRA MAR. YOUTUBE.COM BOLSONARO É CITADO POR BEIRA MAR. BOLSONARO É CITADO POR BEIRA MAR.,0,FALSE
Pero Alexsandro Nicolini,,https://youtu.be/Qmd4xh5K-dc Chupa seus antis  😆  😆 BOLSONARO É CITADO POR BEIRA MAR. YOUTUBE.COM BOLSONARO É CITADO POR BEIRA MAR. BOLSONARO É CITADO POR BEIRA MAR.,0,FALSE
Eulália Alves Fogaça,Pero Alexsandro Nicolini,", nossa, um criminoso dando referências sobre a pessoa do presidente é realmente algo muito honroso, rsrsrsr..",1,FALSE
Pero Alexsandro Nicolini,Eulália Alves Fogaça,isso mérito não vou discordar,0,FALSE
Eulália Alves Fogaça,Pero Alexsandro Nicolini,", é, cada um tem a referência que merece... diga-me com quem andas, e eu direi se vou contigo ou não...  🤷🏻‍♀️ ... referência de bandido? Tô fora!",0,FALSE
Pero Alexsandro Nicolini,Eulália Alves Fogaça,Mais bandidos do que eles fizeram? Com os maiores rombos da história? 😆  😆  😆  😆,0,FALSE
Eulália Alves Fogaça,Pero Alexsandro Nicolini,", não nego que a gestão passada teve roubos, e muitos! Agora, afirmar categoricamente que o bozo é honesto? É fanatismo demais...",1,FALSE
Claudia Cappella,,"Deixe de ser tolo e levar tudo para o lado político. Estamos falando de saúde, vidas e crise mundial na saúde. Um líder deveria chamar para si, aglutinar os três níveis da saúde, apresentando postura, seriedade e respeito numa situação tão grave como essa. Mostrar estratégias, opções de conduta, baseados em experiências dos que já estavam lidando a mais tempo com a Covid. Mas ele preferiu dizer coisas como ""não sou coveiro"". Eu votei em Bolsonaro desde seu primeiro mandato como vereador, até a penúltima eleição. Até hoje, recebo propaganda política dele e de seus filhos, de seu comitê na Rua Divisória, em Marechal Hermes. Então, meu caro, minha postura vai muito além da questão política.",0,FALSE
Dayana Alves,Pero Alexsandro Nicolini,tudo desonesto porque o sistema ajuda,0,FALSE
Cleiton Debora Larissa Barbosa,,Ele não é médico kkkk,1,FALSE
Gustavo Freitas,,Bolsonaro 2022,4,FALSE
Gilmar Oliveira Ferreira,,"é um palhaço, mas adoro ele",2,FALSE
Monica Sibele Parra,,"Na realidade ele disse que se.semte.melhor desde.que tomou e falou o óbvio para a pergunta se ele recomenda ""não recomenda nada, recomendo que você procure seu médico"".",9,FALSE
Padilha Giovanna,Monica Sibele Parra,sensato,3,FALSE
Monica Sibele Parra,Padilha Giovanna,tbm acho.,2,FALSE
Michelle Santos,,"Pois é, sensato. A imagem pode conter: 1 pessoa, telefone, texto que diz ""sis G""",4,FALSE
Rayanne Vilas Boas,Michelle Santos,"Depois de fazer uma propaganda, e mandar fabricar milhões de doses, é considerado sensato né kkkkkkkkkkkkkkkkk",5,FALSE
Padilha Giovanna,Rayanne Vilas Boas,não quer? Não toma! Ele está certíssimo,6,FALSE
Padilha Giovanna,Rayanne Vilas Boas,"tratamento ele tá dando, não quer usar? Espere a morte!",5,FALSE
Rayanne Vilas Boas,Padilha Giovanna,"Sim, certíssimo. Kkkkkkkkkk",3,TRUE
Oseas Carlos,,Tá cada vez mais difícil ser apoiador  🙊,1,TRUE
Joao Francisco,Oseas Carlos,porque não é apoiador ele falou a verdade c não concorda simples não toma,1,FALSE
Joao Francisco,,pergunta pra seu médico falou TUDO PRESIDENTE,1,FALSE
Oseas Carlos,,Ele não é medico. Não tinha que dá palco a receituário médico. E o que ele mais fez; deu palco. Deve ser responsabilizado.,0,FALSE
Elizabet S. Moreira,,"LEIAM https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.correiobraziliense.com.br/app/noticia/politica/2020/07/16/interna_politica,872688/amp.html&ved=2ahUKEwjSlo6_7NLqAhXvQd8KHYH1Dz0QFjAHegQIBRAC&usg=AOvVaw2RB7SWA3ZPjKlxT9UiKURm&ampcf=1 Não recomenda? 6 vezes que Bolsonaro defendeu uso da cloroquina CORREIOBRAZILIENSE.COM.BR Não recomenda? 6 vezes que Bolsonaro defendeu uso da cloroquina Não recomenda? 6 vezes que Bolsonaro defendeu uso da cloroquina",1,FALSE
Joao Victor Vieira Marcondes,,"Só fazer 2 exames cardiacos por dia, tranquilo, qqr pode",1,FALSE
Marco Francisco,,"Se o cara fala ""Cloroquina é boa"", o povo critica. Se ele fala: ""Não recomendo mais nada, procurem seus médicos"", o povo critica... kkkkk mas gostei mais do ultimo conselho, procura seu médico pq presidente não tem CRM mesmo...",5,FALSE
Clauton Corsetti,,Querem morrer ? fodam-se . Procura-se desesperadamente um doente com lúpus e que faz uso de Hidroxicloraquina que morreu de covid .,4,FALSE
Niina Barros,,Esse é mais doido que eu,2,FALSE
Fernando Vidal,,"Sim, procure um médico, ele nao vai receitar para vc.",3,FALSE
Angela Batah,,"Seguinte: quer beber bebe, não quer não bebe. E larga do pé chulé!!!!",1,FALSE
Drika Gonzalez,,"Eu não tomaria a Hidroxicloroquina, tomaria a ivermectina e azitromicina são esses medicamentos que os médicos estão prescrevendo aqui com bons resultados pois já tivemos queda no número de óbitos, estamos estabilizados e olha que o povo vive na rua, em festinhas e churrascos...",3,FALSE
Mery Borges Lima,,Toma quem quer e parem de ser chatos,6,FALSE
Byanca Costa,Mery Borges Lima,tão fácil!  🙄,0,FALSE
Elizabet S. Moreira,Mery Borges Lima,"le, curte quem quer a postagem  😊 . Vamos parar de ser chatos  😁",1,FALSE
Mery Borges Lima,Elizabet S. Moreira,hahaha,0,FALSE
Paulo Roberto,,"acho que jogam tópicos desse grupo em algum grupo bolsonarista para virem defender o seu ídolo, porque não é possível tanto gado  😂  😂",3,FALSE
Elizabet S. Moreira,Paulo Roberto,"em grupo da Covid onde o que eles defendem esta ajudando a dissiminar a doença. Ou são malucos ou doentes, só pode. Não tem coerencia alguma  😁",1,FALSE
Eliane Brandão,,"Uai. Ele só fez a sua obrigação. Divulgar como está se curando. Obrigada, Presidente República Federativa do Brasil  🇧🇷 Jair Messias Bolsonaro",4,FALSE
Padilha Giovanna,,"Minha cidade tem uma das taxas de mortalidade mais baixa, e um dos estados com menos casos. Foi alvo de pesquisas e o parecer foi totalmente favorável ao uso. https://cgn.inf.br/noticia/associacao-medica-da-parecer-favoravel-para-protocolo-de-hidroxicloroquina-em-cascavel Associação Médica dá parecer favorável para protocolo de hidroxicloroquina em Cascavel - CGN CGN.INF.BR Associação Médica dá parecer favorável para protocolo de hidroxicloroquina em Cascavel - CGN Associação Médica dá parecer favorável para protocolo de hidroxicloroquina em Cascavel - CGN",4,TRUE
Byanca Costa,Padilha Giovanna,que maravilha!!  🙌🏻,1,FALSE
Flavio Monteiro,Padilha Giovanna,serio?!?! Aqui na minha cidade os números tb são baixos e estamos tratando com simpatia. Muito bom tb!,1,FALSE
Padilha Giovanna,Flavio Monteiro,"legal, publica no jornal e manda pra gente",0,TRUE
Anna Fernandes,,"Errado não tá, ele não é médico pra recomendar alguma coisa",1,FALSE
Elizabet S. Moreira,Anna Fernandes,mas vc sabia que mesmo não sendo médico ele JA RECOMENDOU? Leu a matéria?,0,FALSE
Simone Rad,Anna Fernandes,"https://www.correiobraziliense.com.br/app/noticia/politica/2020/07/16/interna_politica,872688/nao-recomenda-6-vezes-que-bolsonaro-defendeu-uso-da-cloroquina.shtml  Não recomenda? 6 vezes que Bolsonaro defendeu uso da cloroquina CORREIOBRAZILIENSE.COM.BR Não recomenda? 6 vezes que Bolsonaro defendeu uso da cloroquina Não recomenda? 6 vezes que Bolsonaro defendeu uso da cloroquina",1,FALSE
Luciana Cardoso,,Cara ridículo.,1,FALSE
Maurício Augusto,,"A imagem pode conter: ‎texto que diz ""‎CAPITÃO CLOROQUINA, HERÓI DOS FRASCOS E COMPRIMIDOS... ISOLAMENTO SOCIAL? CLOROQUINA! COMPROVAÇÃO CIENTIFICA? AJUDA AOS ESTADOS? CLOROQUINA! CLOROQUINA! COMUNISMO? د DÓLAR NAS ALTURAS? CLOROQUINA! NOVO MINISTRO DA SAÚDE? CLOROQUINA! CLOROQUINA! नपूण‎""‎",1,FALSE
Cleide Santiago,,Mas vi na TV ele dizendo que está fazendo uso desses medicamentos.,2,FALSE
Maurício Augusto,,"Nós aprovamos a Cloroquina. A imagem pode conter: uma ou mais pessoas, pessoas em pé e terno",1,FALSE
Lu Thome,,Marco Souza,0,FALSE
Maurício Augusto,,"Essa turma está com o presidente. Cloroquina já! A imagem pode conter: 4 pessoas, texto que diz ""Só de olho""",2,FALSE
Anne Santos,,"A chamada é tendenciosa como sempre nesse jornaleco. Ele continua defendendo, mas foi obrigado pela justiça a mudar a forma de falar, povo chato",3,FALSE
Nara Almeida,,Sem comentários nosso país esta perdido se não é ladrão é louco,3,FALSE
Elza Lima Silva,,"Coitado desse ser, está perdido, e está bagunçando o Brasil.  😥  😥  😥  😥",3,FALSE
Denizi Marolla,,Oque fala sentado não sustenta em pé. É normal. A gente já espera de tudo,1,FALSE
Marcelo Algodoal,,Só dá péssimos exemplos,1,FALSE
