content,stance
https://www.uol.com.br/vivabem/noticias/redacao/2020/03/26/quatro-pacientes-de-uti-tiveram-alta-em-sp-com-uso-de-hidroxicloroquina.htm  Quatro pacientes de UTI tiveram alta em SP com uso de hidroxicloroquina UOL.COM.BR,Positivo
Entrevista agora com a paciente na Record. Vdd,Positivo
Todo mundo que comentou nesse post nao vai pegar o virus em nome de jesus,Neutro
Amém,Positivo
nao se preocupa amigo Deus esta com nos durna tranquilo,Neutro
Pra quem não acredita!! Pesquisem!! Isso é fato pois confirmei com profissionais do hospital!! https://www.uol.com.br/vivabem/noticias/redacao/2020/03/26/quatro-pacientes-de-uti-tiveram-alta-em-sp-com-uso-de-hidroxicloroquina.htm  Quatro pacientes de UTI tiveram alta em SP com uso de hidroxicloroquina UOL.COM.BR,Positivo
"Notícias ruins galera aplaude, notícias boas dizem ser mentira.",Positivo
isso acontece muito é inacreditável,Positivo
"eu não pretendo bater palmas e nem parabenizar o governo por nada. No meu ponto de vista, independentemente de quem quer q seja o governante, está fazendo OBRIGAÇÃO e não FAVOR. FEZ ERRADO EU COBRO … Ver mais",Neutro
ninguém tá falando de política. Estamos falando de medicina e cura,Positivo
"negatividade e essa jovem. Estamos falando de cura, a esperança de qualquer profissão e ser humano, foda se política, todo mundo tem que ser grato por qualquer profissão, antes e depois do corona. Dias melhores virao, seja grato!",Positivo
"Tudo coloca política no meio, aff 🤨",Positivo
Gloeia a DEUS,Positivo
https://www.otempo.com.br/interessa/saude-e-ciencia/covid-19-chineses-concluem-que-hidroxicloroquina-nao-e-melhor-que-cuidado-usual-1.2316343  Covid-19: chineses concluem que hidroxicloroquina não é melhor que cuidado usual OTEMPO.COM.BR ,Negativo
"esse estudo foi só com a hidroxicloroquina, sem o antibiótico, na verdade muito paciente deve piorar por conta de infecção secundária bacteriana, além de que a azitromicina tem efeitos anti-inflamatórios que podem ajudar na resposta inflamatória pulmonar... De qualquer forma, saberemos logo do potencial ou não já que o mundo inteiro está usando agora, a partir de ontem basicamente muitos estudos começaram...",Neutro
"o risco dessas noticias com a cloroquina como cura é exatamente esse de fazer as pessoas usarem sem entender como funciona ou sem base e critério, e causar casos como esse: https://oglobo.globo.com/sociedade/coronavirus-homem-morre-mulher-internada-nos-eua-apos-tomarem-cloroquina-24325000  Coronavírus: Homem morre e mulher é internada nos EUA após tomarem cloroquina OGLOBO.GLOBO.COM Coronavírus: Homem morre e mulher é internada nos EUA após tomarem cloroquina Coronavírus: Homem morre e mulher é internada nos EUA após tomarem cloroquina",Negativo
tem que tomar muito cuidado com isso..,Neutro
"Automedicação no geral é algo perigoso, na verdade",Neutro
Já foi liberada nós hospitais ...vocês só bosta pessimistas querem ver as coisas dado errado nem consegui ficar feliz notícias boa,Positivo
"https://noticias.uol.com.br/saude/ultimas-noticias/redacao/2020/03/25/cloroquina-cuidados-basicos-coronavirus.htm  Cloroquina não supera cuidados básicos contra a covid-19, afirma estudo NOTICIAS.UOL.COM.BR",Negativo
https://gizmodo.uol.com.br/estudo-nao-encontra-evidencias-hidroxicloroquina-coronavirus/  Estudo limitado não encontra evidências de que hidroxicloroquina funciona contra coronavírus - Gizmodo Brasil GIZMODO.UOL.COM.BR,Negativo
https://oglobo.globo.com/sociedade/coronavirus-homem-morre-mulher-internada-nos-eua-apos-tomarem-cloroquina-24325000  Coronavírus: Homem morre e mulher é internada nos EUA após tomarem cloroquina OGLOBO.GLOBO.COM ,Negativo
"cloroquina de tanque de Aquário, por favor, neste momento pode não apoiar mas seja isento... Eu estou esperançosa mas isenta",Positivo
"vc acha q eles cometeram essa imprudencia imbecil porque? Porque a mídia espalhou a cloroquina como cura mágica... tem que ter muito cuidado com essas notícias, por isso, espalhar o nome do remédio nesse estagio da pesquisa ainda, é muito perigoso...",Negativo
"Não sou contra a Cloroquina, só acho que temos que ter responsabilidade...",Positivo
"concordo plenamente com você! As pessoas precisam ser mais responsáveis em divulgar as coisas mas não temos controle, agora a mídia tem que informar de maneira assertiva... Os presidentes sem noção também tem... Eu sou farmacêutica, no meu ciclo eu aconselho a todos a aguardar, ainda não há dados... Mas quero ter esperança... Ao menos por enquanto, depois quero dados científicos, o quanto antes... Dez dias no máximo...",Neutro
tem ver na globo ..essa página.. pessimistas querem ver só lado errado tudo dando errado eu em,Positivo
"fishfull think não ajuda nessas horas... sei que não podemo entrar em pânico, mas é importante entender a dimensão do caso, e ter responsabilidade diante de curas não testadas...",Neutro
"Em alguns casos a cloroquina pode sim ser a cura, mas a dose é tão alta que tem que ser feita somente no hospital com médicos por perto porque se não souber administrar os efeitos colaterais são: arritmia cardíaca, infarto entre outras coisas relacionadas, então tomar muito cuidado com o que saem postando os desavisados podem sair usando de qualquer maneira e não pode",Positivo
"Não é bem assim, vejam o que esse prof. explica sobre o assunto: https://youtu.be/raYslxs_VrY  Live Coronavírus 25/03: Como o Brasil pode vencer a pandemia se estamos errando como EUA e Itália? YOUTUBE.COM",Negativo
Entrevista agora com a paciente na Record. Vdd,Positivo
"Está funcionando no mundo todo, um alívio para todos",Positivo
"Isso, divulga! É somente com prescrição médica!! Pode causar males também, se tomar por conta própria sabia? 1",Negativo
Q bom graças a Deus,Positivo
Graças a Deus 💖 🙌,Positivo
ALELUIA,Positivo
#bolsonarotemrazao #bolsonarotemrazao #bolsonarotemrazao #bolsonarotemrazao #bolsonarotemrazao #bolsonarotemrazao #bolsonarotemrazao #bolsonarotemrazao #bolsonarotemrazao #bolsonarotemrazao #bolsonarotemrazao #bolsonarotemrazao #bolsonarotemrazao #bolsonarotemrazao #bolsonarotemrazao #bolsonarotemrazao #bolsonarotemrazao #bolsonarotemrazao #bolsonarotemrazao #bolsonarotemrazao #bolsonarotemrazao #bolsonarotemrazao #bolsonarotemrazao #bolsonarotemrazao,Positivo
o Bolsonaro inventou esse remédio ?,Negativo
kkkkk gado e f... msm acredita ate que o bozo criou o remedio e tambem a cura kkkkkk,Negativo
TEU CÚ,Positivo
", Claro que não. Esta sendo testado em todo o mundo. (TESTE DE UM MEDICAMENTO A MUITO TEMPO NO MERCADO). É bom que funcione .",Positivo
respeito bozo,Positivo
Bolsominion burro!!!,Negativo
TEU CÚ TAMBÉM,Positivo
Merece respeito quem sabe respeitar. Não respeitou? Então vai tomar no CÚ,Positivo
"não Vadia, mas enquanto todos são contra o uso do remédio ele mandou produzir e pesquisar sobre a eficácia",Positivo
Não funciona. Li sobre o estudo feito na Itália. E apenas um placebo para acalmar a população. … Ver mais,Negativo
Aonde vc viu isso?,Neutro
"querida leia, desliga a Globo e vai ler está muito desinformada",Positivo
"O estudo nem foi feito na Itália, foi na França...",Positivo
Primeiro que a dose de cloroquina é muito alta só deve ser feita no hospital pois se não o fizer corretamente se não morrer com o vírus morre de infarto e outros malefícios do próprio remedio,Negativo
"Tambem deixou gente morta, entao, deixem para profissionais fazerem os testes, nao saiam por ai esgotando as farmacias, alem de estarem correndo riscos, esta tirando de quem realmente precisa",Negativo
já foi racionado justamente porque brasileiro não tem bom senso. Agora só se compra com receita médica!,Positivo
e lamentável,Neutro
"Aqui em Santa Catarina a primeira morte contabilizada por corona vírus, o senhor de idade já estava doente a mais de um mês, um familiar mandou áudio avisando. Ele ia e vinha do hospital, desenganado pelos médicos. Numa dessas idas deve ter pego o vírus. Mas não fizeram nenhum exame pra saber. Simplesmente foi considerada a primeira morte do Estado. É um absurdo, estão espalhando pânico!",Positivo
fontes Mauricio?,Negativo
Fontes? Pq não acredito,Negativo
- nunca tem fonte!!,Negativo
"Menos que alguem tenha sido curado que e bom, teve gente morrendo, entao o uso de remedios nao controlados, deixem so ao o uso de medicos eles sabem o que fazem",Neutro
https://youtu.be/zF2pXXJIAGM  Live Coronavírus de 20/03 - O que o Brasil precisa fazer nos próximos dias YOUTUBE.COM Live Coronavírus de 20/03,Neutro
"Comparativo BRASIL X ITÁLIA ITALIA 14X + MORTES… Ver mais  📍 ¢σяσηανιяυѕ: A VERDADE REVELADA - VOCÊ É BURRO!!!!🐴🐴🐴 ATILA IAMARINO, refute! YOUTUBE.COM 📍 ¢σяσηανιяυѕ: A VERDADE REVELADA - VOCÊ É BURRO!!!!🐴🐴🐴 ATILA IAMARINO, refute! 📍 ¢σяσηανιяυѕ: A VERDADE REVELADA - VOCÊ É BURRO!!!!🐴🐴🐴 ATILA IAMARINO, refute!",Positivo
"Pra quem não acredita, basta assistir o programa do Datena hoje.",Positivo
Datena não é confiável,Negativo
Glória a Deus,Positivo
Não demora muito e a #GloboLixo começa a condenar esse remédio....,Positivo
Vc é um bolsominion burrão!!,Negativo
", calma, o carrinho com o pão com mortadela já passa pela tua rua....  🤣 🤣 🤣 🤣 🤣",Positivo
"Vc é um completo idiota!! Odeio tanto os adoradores do Luladrão como os imbecis como vc, que não ouvem as autoridades médicas, os infectologistas e sim o Bozo tresloucado!!",Negativo
"Parem de politizar isso, nessa hora tem esquerda e nem direita bando de imbecil",Positivo
"Bando de jumentos  A imagem pode conter: texto que diz ""Lula Livre! Bolsonaro mito!""",Positivo
Segundo eu li em uma postagem (Não me lembro onde) cloroquina +azitromicina=cura,Positivo
"Em Milão eles ainda não sabiam da virulência tão trágica do novo coronavírus. Nós agora sabemos! E é bem forte esta Palavra de Deus: ""... Eu lhes propus a vida ou a morte, a bênção ou a maldição. Escolha, portanto, a vida, para que você e seus descende… Ver mais",Neutro
"A imagem pode conter: atividades ao ar livre, texto que diz ""CARREATA NA ITÁLIA DEPOIS DA LIBERAÇAO DO COMERCIO COM @DOUGLASREZENDEPSOL 니 ADENN PHARMACIE CAMINHÕES DO EXÉRCITO COM CAIXOES LAUTADOS""",Positivo
"Conheço uma pessoa com asma Que teve , foi 3 vezes no hospital , por fim detectaram pneumonia Mas ela está curada … Ver mais",Neutro
????,Neutro
não consegui saber o remédio q foi usado,Neutro
"DIÓXIDO DE CLORO - CLO2 - MMS ""O dióxido de cloro é registrado na Agência de Proteção Ambiental dos Estados Unidos (EPA) como desinfetante, desinfetante e esterilizador, definido como a capacidade"" de destruir ou eliminar todas as formas de vida microbiana, incluindo fungos, vírus e todas as formas de bactérias e seus esporos "". Abaixo estão alguns dos organismos mais comumente vistos que o Dióxido de Cloro foi eliminado. Até o momento, nenhum organismo testado contra o Dióxido de Cloro provou ser resistente."" E o coronavírus está na lista E vírus corona da Síndrome Respiratória Aguda Grave (SARS)! Créditos Scott M https://drive.google.com/file/d/1Jqqr1qMWBZz8OGDJsbV84BJzAaahaDIX/view?usp=drivesdk  Chlorine dioxide registered as a biocide by EPA.pdf DRIVE.GOOGLE.COM Chlorine dioxide registered as a biocide by EPA.pdf Chlorine dioxide registered as a biocide by EPA.pdf",Positivo
"Porque a gente gosta de números! Leiam com atenção. ""A leitura desse texto é extremamente importante para que se entenda de uma vez que isso não é “gripizinha” e ações de supressão precoce farão toda a diferença!! Fonte: ProEpi - Associação Brasileira de Profissionais de Epidemiologia de Campo “Saiu a modelagem estatística do Imperial College London para os cenários do COVID-19 no Brasil. Antes, uma introdução. No começo da pandemia o governo do Reino Unido havia decidido apostar em uma estratégia de “imunidade de massa”, que consistia em não tomar medidas restritivas; em vez de parar o país, deixariam que o vírus infectasse a população de modo que rapidamente as pessoas pudessem ficar imunizadas. Porém, o governo do Reino Unido desistiu dessa ideia quando uma equipe de especialistas epidemiológicos do Imperial College of London apresentou uma previsão de como se desenrolaria a disseminação do COVID-19 em diferentes cenários de contenção para o Reino Unido e para os Estados Unidos. Para elaborar essa previsão, utilizaram dados de contágio, estatísticas de hospitalização e óbitos vistos em outros países, estudaram como o vírus se dissemina em diferentes ambientes etc.. Como um breve resumo: se circular livremente, o vírus tem a capacidade de infectar cerca de 80% da população geral em um período muito curto. Das pessoas infectadas, cerca de 20% precisam de hospitalização, 5% dos casos são críticos e precisam de UTI e suporte respiratório, e cerca de metade dos casos críticos vêm a óbito. No entanto, o súbito aumento de casos ultrapassa a capacidade do sistema de saúde, gerando colapso, e disso resulta um número muito maior de mortes — de covid-19, assim como de outras causas — simplesmente porque não há hospital para tratar todas as pessoas que precisam. Segundo a previsão, se não houver restrições nos contatos, no mundo inteiro seriam 7 bilhões de pessoas infectadas com covid-19 e 40 milhões de mortes neste ano. Os números previstos por esses estudos fizeram com que governos desistissem das posturas mais relaxadas e tomassem as medidas mais restritivas para evitar o colapso do sistema de saúde e um número muito maior de mortes. # Ontem, no dia 26/03/2020, o Imperial College of London soltou números previstos para os desfechos da pandemia em todos os países, nos cenários sem intervenção, com mitigação, e com supressão. Mitigação envolve proteger os idosos (reduzir 60% dos contatos) e restringir apenas 40% dos contatos do restante da população. Supressão envolve testar e isolar os casos positivos, e estabelecer distanciamento social para toda a população. Supressão precoce – implementada em uma fase em que há 0,2 mortes por 100.000 habitantes por semana e mantida Supressão tardia – implementada quando há 1,6 mortes por 100.000 habitantes por semana e mantida. # No Brasil os cenários previstos são os seguintes: Cenário 1- Sem medidas de mitigação: - População total: 212.559.409 - População infectada: 187.799.806 - Mortes: 1.152.283 - Indivíduos necessitando hospitalização: 6.206.514 - Indivíduos necessitando UTI: 1.527.536 # Cenário 2 - Com distanciamento social de toda a população: - População infectada: 122.025.818 - Mortes: 627.047 - Indivíduos necessitando hospitalização: 3.496.359 - Indivíduos necessitando UTI: 831.381 # Cenário 3 - Com distanciamento social E REFORÇO do distanciamento dos idosos: - População infectada: 120.836.850 - Mortes: 529.779 - Indivíduos necessitando hospitalização: 3.222.096 - Indivíduos necessitando UTI: 702.497 # Cenário 4 – Com supressão tardia - População infectada: 49.599.016 - Mortes: 206.087 - Indivíduos necessitando hospitalização: 1.182.457 - Indivíduos necessitando UTI: 460.361 - Demanda por hospitalização no pico da pandemia: 460.361 - Demanda por leitos de UTI no pico da pandemia: 97.044 # Cenário 5 – Com supressão precoce - População infectada: 11.457.197 - Mortes: 44.212 - Indivíduos necessitando hospitalização: 250.182 - Indivíduos necessitando UTI: 57.423 - Demanda por hospitalização no pico da pandemia: 72.398 - Demanda por leitos de UTI no pico da pandemia: 15.432 # Faço algumas observações: Os próprios autores do estudo comentam que modelaram essas curvas com base nos padrões de dispersão dos países ricos e que nos países pobres os resultados da pandemia podem ser piores do que o previsto. Esses números previstos não levam em conta a existência de favelas, comunidades sem abastecimento de água e/ou saneamento, entre outros complicadores que temos no Brasil. # É preciso comentar que os números reais da pandemia no Brasil, seus casos e óbitos, estarão amplamente subnotificados devido à falta de testes e demora nos resultados. As estatísticas oficiais publicadas pelo Ministério da Saúde mostrarão apenas a ponta do iceberg. # Mesmo nos melhores cenários, lentificando a transmissão e aumentando os recursos do sistema de saúde, deve faltar UTI e respirador  para parte dos doentes. # Em resumo, a diferença entre ficarmos todos em casa (supressão) ou adotar uma estratégia mais branda de mitigação e proteção apenas dos grupos de risco pode ser da ordem de MEIO MILHÃO de vidas. # Os diversos relatórios estão disponíveis no site do Imperial College of London: https://www.imperial.ac.uk/mrc-global-infectious-disease-analysis/news--wuhan-coronavirus/?fbclid=IwAR0GeexFNu6ezOVclPBVW5x3Z3yOn5N1X6siDO5P7ezUOm_UwOUu31RBoAY Link para o trabalho “The Global Impact of COVID-19 and Strategies for Mitigation and Suppression”: https://www.imperial.ac.uk/media/imperial-college/medicine/sph/ide/gida-fellowships/Imperial-College-COVID19-Global-Impact-26-03-2020.pdf As tabelas com os números oferecidos constam no apêndice: https://www.imperial.ac.uk/media/imperial-college/medicine/sph/ide/gida-fellowships/Imperial-College-COVID19-Global-unmitigated-mitigated-suppression-scenarios.xlsx “ IMPERIAL.AC.UK COVID-19 reports COVID-19 reports",Neutro
"Esse remédio curou a malária (leiam no Google,sobre essa...) Cientistas vão misturar , testar , várias fórmulas...",Positivo
